"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Delete exercises","LMS Service","Fri Aug 08 18:23:25 GMT 2025","passed","Fri Aug 08 18:23:25 GMT 2025","Delete entity","Exercises","",""
"","15","Get user me","LMS Service","Fri Aug 08 18:23:30 GMT 2025","passed","Fri Aug 08 18:23:30 GMT 2025","Get entity","Users","",""
"","595","Login with correct email and password","LMS Service","Fri Aug 08 18:23:20 GMT 2025","passed","Fri Aug 08 18:23:20 GMT 2025","Login","Authentication","",""
"","314","Create user","LMS Service","Fri Aug 08 18:23:29 GMT 2025","passed","Fri Aug 08 18:23:30 GMT 2025","Create entity","Users","",""
"","312","Create exercise","LMS Service","Fri Aug 08 18:23:22 GMT 2025","passed","Fri Aug 08 18:23:23 GMT 2025","Create entity","Exercises","",""
"","308","Get exercises","LMS Service","Fri Aug 08 18:23:25 GMT 2025","passed","Fri Aug 08 18:23:25 GMT 2025","Get entities","Exercises","",""
"","281","Create file","LMS Service","Fri Aug 08 18:23:26 GMT 2025","passed","Fri Aug 08 18:23:26 GMT 2025","Create entity","Files","",""
"","38","Get courses","LMS Service","Fri Aug 08 18:23:21 GMT 2025","passed","Fri Aug 08 18:23:21 GMT 2025","Get entities","Courses","",""
"","574","Create user","LMS Service","Fri Aug 08 18:23:29 GMT 2025","passed","Fri Aug 08 18:23:29 GMT 2025","Create entity","Users","",""
"","29","Delete file","LMS Service","Fri Aug 08 18:23:29 GMT 2025","passed","Fri Aug 08 18:23:29 GMT 2025","Delete entity","Files","",""
"","41","Create course","LMS Service","Fri Aug 08 18:23:21 GMT 2025","passed","Fri Aug 08 18:23:21 GMT 2025","Create entity","Courses","",""
"","294","Get file with incorrect file id","LMS Service","Fri Aug 08 18:23:29 GMT 2025","passed","Fri Aug 08 18:23:29 GMT 2025","Validate entity","Files","",""
"","604","Create user","LMS Service","Fri Aug 08 18:23:29 GMT 2025","passed","Fri Aug 08 18:23:30 GMT 2025","Create entity","Users","",""
"","20","Get exercise","LMS Service","Fri Aug 08 18:23:24 GMT 2025","passed","Fri Aug 08 18:23:24 GMT 2025","Get entity","Exercises","",""
"","311","Update exercise","LMS Service","Fri Aug 08 18:23:23 GMT 2025","passed","Fri Aug 08 18:23:24 GMT 2025","Update entity","Exercises","",""
"","289","Create file with empty directory","LMS Service","Fri Aug 08 18:23:28 GMT 2025","passed","Fri Aug 08 18:23:28 GMT 2025","Validate entity","Files","",""
"","331","Update course","LMS Service","Fri Aug 08 18:23:22 GMT 2025","passed","Fri Aug 08 18:23:22 GMT 2025","Create entity","Courses","",""
"","286","Create file with empty filename","LMS Service","Fri Aug 08 18:23:27 GMT 2025","passed","Fri Aug 08 18:23:27 GMT 2025","Validate entity","Files","",""
"","16","Get file","LMS Service","Fri Aug 08 18:23:27 GMT 2025","passed","Fri Aug 08 18:23:27 GMT 2025","Get entity","Files","",""
